index,weekPosition,previousPosition,pPosition,totalWeeks,titleArtist,entryDate,entryPosition,Ovreral_peakPosition,Overral_tW,artist,songs,WeekOf
835,20,32,20,4,"Let It Snow, Let It Snow, Let It Snow                       DEAN MARTIN",12/15/18,41,20,4,             DEAN MARTIN,"Let It Snow, Let It Snow, Let It Snow",11/10/18
836,21,18,16,24,"Eastside                                                    BENNY BLANCO, HALSEY & KHALID",7/28/18,56,16,24,"             BENNY BLANCO, HALSEY & KHALID",Eastside,11/10/18
837,22,19,12,19,Breathin'                                                   ARIANA GRANDE,9/1/18,22,12,19,             ARIANA GRANDE,Breathin',11/10/18
838,23,21,3,35,Better Now                                                  POST MALONE,5/12/18,7,3,35,             POST MALONE,Better Now,11/10/18
839,24,20,7,30,Youngblood                                                  5 SECONDS OF SUMMER,6/16/18,96,7,30,             5 SECONDS OF SUMMER,Youngblood,11/10/18
840,25,27,25,5,Last Christmas                                              WHAM!,12/8/18,43,25,5,             WHAM!,Last Christmas,11/10/18
841,26,33,26,3,Sleigh Ride                                                 THE RONETTES,12/22/18,41,26,3,             THE RONETTES,Sleigh Ride,11/10/18
842,27,23,2,33,Lucid Dreams                                                JUICE WRLD,5/26/18,74,2,33,             JUICE WRLD,Lucid Dreams,11/10/18
843,28,35,28,3,Here Comes Santa Claus (Down Santa Claus Lane)              GENE AUTRY,12/22/18,40,28,3,             GENE AUTRY,Here Comes Santa Claus (Down Santa Claus Lane),11/10/18
844,29,34,29,3,Feliz Navidad                                               JOSE FELICIANO,12/22/18,42,29,3,             JOSE FELICIANO,Feliz Navidad,11/10/18
845,30,25,11,13,"Taki Taki                                                   DJ SNAKE featuring SELENA GOMEZ, OZUNA & CARDI B",10/13/18,27,11,13,"             DJ SNAKE featuring SELENA GOMEZ, OZUNA & CARDI B",Taki Taki,11/10/18
846,31,26,5,11,MIA                                                         BAD BUNNY featuring DRAKE,10/27/18,5,5,11,             BAD BUNNY featuring DRAKE,MIA,11/10/18
847,32,41,32,2,(There's No Place Like) Home For The Holidays               PERRY COMO,12/29/18,41,32,2,             PERRY COMO,(There's No Place Like) Home For The Holidays,11/10/18
848,33,31,27,15,Leave Me Alone                                              FLIPP DINERO,9/29/18,96,27,15,             FLIPP DINERO,Leave Me Alone,11/10/18
849,34,48,34,2,White Christmas                                             BING CROSBY,12/29/18,48,34,2,             BING CROSBY,White Christmas,11/10/18
850,35,42,35,2,It's Beginning To Look A Lot Like Christmas                 PERRY COMO & THE FONTANE SISTERS,12/29/18,42,35,2,             PERRY COMO & THE FONTANE SISTERS,It's Beginning To Look A Lot Like Christmas,11/10/18
851,36,22,6,4,Going Bad                                                   MEEK MILL featuring DRAKE,12/15/18,6,6,4,             MEEK MILL featuring DRAKE,Going Bad,11/10/18
852,37,0,37,1,A Lot                                                       21 SAVAGE,1/5/19,37,37,1,             21 SAVAGE,A Lot,11/10/18
853,38,29,11,21,Trip                                                        ELLA MAI,8/18/18,79,11,21,             ELLA MAI,Trip,11/10/18
854,39,40,1,38,"I Like It                                                   CARDI B, BAD BUNNY & J BALVIN",4/21/18,8,1,38,"             CARDI B, BAD BUNNY & J BALVIN",I Like It,11/10/18
855,40,0,40,1,Blue Christmas                                              ELVIS PRESLEY,1/5/19,40,40,1,             ELVIS PRESLEY,Blue Christmas,11/10/18
856,41,36,33,16,Speechless                                                  DAN + SHAY,9/22/18,95,33,16,             DAN + SHAY,Speechless,11/10/18
857,42,45,42,2,Happy Xmas (War Is Over)                                    JOHN & YOKO / THE PLASTIC ONO BAND with THE HARLEM COMMUNITY,12/29/18,45,42,2,             JOHN & YOKO / THE PLASTIC ONO BAND with THE HARLEM COMMUNITY,Happy Xmas (War Is Over),11/10/18
858,43,50,43,2,Christmas (Baby Please Come Home)                           DARLENE LOVE,12/29/18,50,43,2,             DARLENE LOVE,Christmas (Baby Please Come Home),11/10/18
859,44,0,44,1,Underneath The Tree                                         KELLY CLARKSON,1/5/19,44,44,1,             KELLY CLARKSON,Underneath The Tree,11/10/18
860,45,0,45,1,Run Rudolph Run                                             CHUCK BERRY,1/5/19,45,45,1,             CHUCK BERRY,Run Rudolph Run,11/10/18
861,46,43,13,23,Natural                                                     IMAGINE DRAGONS,8/4/18,37,13,23,             IMAGINE DRAGONS,Natural,11/10/18
862,47,0,47,1,Wow.                                                        POST MALONE,1/5/19,47,47,1,             POST MALONE,Wow.,11/10/18
863,48,37,9,45,Love Lies                                                   KHALID & NORMANI,3/3/18,43,9,45,             KHALID & NORMANI,Love Lies,11/10/18
864,49,0,49,1,Jingle Bells                                                FRANK SINATRA,1/5/19,49,49,1,             FRANK SINATRA,Jingle Bells,11/10/18
865,50,38,30,21,Beautiful                                                   BAZZI featuring CAMILA CABELLO,8/18/18,60,30,21,             BAZZI featuring CAMILA CABELLO,Beautiful,11/10/18
866,51,39,29,15,Better                                                      KHALID,9/29/18,45,29,15,             KHALID,Better,11/10/18
867,52,44,5,13,Shallow                                                     LADY GAGA & BRADLEY COOPER,10/13/18,28,5,13,             LADY GAGA & BRADLEY COOPER,Shallow,11/10/18
868,53,68,53,2,Cozy Little Christmas                                       KATY PERRY,12/29/18,68,53,2,             KATY PERRY,Cozy Little Christmas,11/10/18
869,54,51,34,20,She Got The Best Of Me                                      LUKE COMBS,8/25/18,95,34,20,             LUKE COMBS,She Got The Best Of Me,11/10/18
870,55,90,55,2,The Christmas Song                                          LAUREN DAIGLE,12/29/18,90,55,2,             LAUREN DAIGLE,The Christmas Song,11/10/18
871,56,49,7,13,Uproar                                                      LIL WAYNE,10/13/18,7,7,13,             LIL WAYNE,Uproar,11/10/18
872,57,0,57,1,Swervin                                                     A BOOGIE WIT DA HOODIE featuring 6IX9INE,1/5/19,57,57,1,             A BOOGIE WIT DA HOODIE featuring 6IX9INE,Swervin,11/10/18
873,58,0,58,1,Can't Leave Without It                                      21 SAVAGE,1/5/19,58,58,1,             21 SAVAGE,Can't Leave Without It,11/10/18
874,59,59,44,24,You Say                                                     LAUREN DAIGLE,7/28/18,53,44,24,             LAUREN DAIGLE,You Say,11/10/18
875,60,57,57,6,Close To Me                                                 ELLIE GOULDING x DIPLO featuring SWAE LEE,12/1/18,98,57,6,             ELLIE GOULDING x DIPLO featuring SWAE LEE,Close To Me,11/10/18
876,61,55,46,15,Best Shot                                                   JIMMIE ALLEN,9/29/18,97,46,15,             JIMMIE ALLEN,Best Shot,11/10/18
877,62,53,31,18,Dangerous                                                   MEEK MILL featuring JEREMIH & PNB ROCK,9/8/18,88,31,18,             MEEK MILL featuring JEREMIH & PNB ROCK,Dangerous,11/10/18
878,63,63,63,9,Be Alright                                                  DEAN LEWIS,11/10/18,94,63,9,             DEAN LEWIS,Be Alright,11/10/18
879,64,54,53,19,Drunk Me                                                    MITCHELL TENPENNY,9/1/18,83,53,19,             MITCHELL TENPENNY,Drunk Me,11/10/18
880,65,0,65,1,Startender                                                  A BOOGIE WIT DA HOODIE featuring OFFSET & TYGA,1/5/19,65,65,1,             A BOOGIE WIT DA HOODIE featuring OFFSET & TYGA,Startender,11/10/18
881,66,96,66,3,Look Back At It                                             A BOOGIE WIT DA HOODIE,12/22/18,95,66,3,             A BOOGIE WIT DA HOODIE,Look Back At It,11/10/18
882,67,0,67,1,All My Friends                                              21 SAVAGE,1/5/19,67,67,1,             21 SAVAGE,All My Friends,11/10/18
883,68,52,16,7,Bad!                                                        XXXTENTACION,11/24/18,16,16,7,             XXXTENTACION,Bad!,11/10/18
884,69,64,64,10,Backin' It Up                                               PARDISON FONTAINE faeturing CARDI B,11/3/18,95,64,10,             PARDISON FONTAINE faeturing CARDI B,Backin' It Up,11/10/18
885,70,0,70,1,Break Da Law                                                21 SAVAGE,1/5/19,70,70,1,             21 SAVAGE,Break Da Law,11/10/18
886,71,24,24,2,Imagine                                                     ARIANA GRANDE,12/29/18,24,24,2,             ARIANA GRANDE,Imagine,11/10/18
887,72,61,61,9,TAlk tO Me                                                  TORY LANEZ & RICH THE KID,11/10/18,76,61,9,             TORY LANEZ & RICH THE KID,TAlk tO Me,11/10/18
888,73,0,73,1,Monster                                                     21 SAVAGE,1/5/19,73,73,1,             21 SAVAGE,Monster,11/10/18
889,74,46,46,4,Calling My Spirit                                           KODAK BLACK,12/15/18,64,46,4,             KODAK BLACK,Calling My Spirit,11/10/18
890,75,69,69,8,Consequences                                                CAMILA CABELLO,11/17/18,97,69,8,             CAMILA CABELLO,Consequences,11/10/18
891,76,60,44,7,Armed And Dangerous                                         JUICE WRLD,11/24/18,44,44,7,             JUICE WRLD,Armed And Dangerous,11/10/18
892,77,62,28,9,Arms Around You                                             XXXTENTACION & LIL PUMP featuring MALUMA & SWAE LEE,11/10/18,28,28,9,             XXXTENTACION & LIL PUMP featuring MALUMA & SWAE LEE,Arms Around You,11/10/18
893,78,56,56,4,Nothing Breaks Like A Heart                                 MIKE RONSON featuring MILEY CYRUS,12/15/18,67,56,4,             MIKE RONSON featuring MILEY CYRUS,Nothing Breaks Like A Heart,11/10/18
894,79,67,67,7,Sixteen                                                     THOMAS RHETT,11/24/18,91,67,7,             THOMAS RHETT,Sixteen,11/10/18
895,80,65,65,10,Burning Man                                                 DIERKS BENTLEY featuring BROTHERS OSBORNE,11/3/18,100,65,10,             DIERKS BENTLEY featuring BROTHERS OSBORNE,Burning Man,11/10/18
896,81,81,81,3,Beautiful Crazy                                             LUKE COMBS,12/22/18,97,81,3,             LUKE COMBS,Beautiful Crazy,11/10/18
897,82,77,52,10,When The Party's Over                                       BILLIE EILISH,11/3/18,65,52,10,             BILLIE EILISH,When The Party's Over,11/10/18
898,83,87,83,2,Sweet But Psycho                                            AVA MAX,12/29/18,87,83,2,             AVA MAX,Sweet But Psycho,11/10/18
899,84,66,66,9,This Feeliing                                               THE CHAINSMOKERS featuring KELSEA BALLERINI,11/10/18,98,66,9,             THE CHAINSMOKERS featuring KELSEA BALLERINI,This Feeliing,11/10/18
900,85,75,75,5,You                                                         JACQUEES,12/8/18,90,75,5,             JACQUEES,You,11/10/18
901,86,0,86,1,1.5                                                         21 SAVAGE,1/5/19,86,86,1,             21 SAVAGE,1.5,11/10/18
902,87,71,71,3,Girl Like You                                               JASON ALDEAN,12/22/18,77,71,3,             JASON ALDEAN,Girl Like You,11/10/18
903,88,0,88,1,Out For The Night                                           21 SAVAGE,1/5/19,88,88,1,             21 SAVAGE,Out For The Night,11/10/18
904,89,72,72,7,Good Girl                                                   DUSTIN LYNCH,11/24/18,93,72,7,             DUSTIN LYNCH,Good Girl,11/10/18
905,90,73,47,14,No Stylist                                                  FRENCH MONTANA featuring DRAKE,10/6/18,47,47,14,             FRENCH MONTANA featuring DRAKE,No Stylist,11/10/18
906,91,89,89,2,Lovely                                                      BILLIE EILISH & KHALID,12/29/18,89,89,2,             BILLIE EILISH & KHALID,Lovely,11/10/18
907,92,80,79,8,Ella Quiere Beber                                           ANUEL AA & ROMEO SANTOS,11/17/18,86,79,8,             ANUEL AA & ROMEO SANTOS,Ella Quiere Beber,11/10/18
908,93,0,93,1,Gun Smoke                                                   21 SAVAGE,1/5/19,93,93,1,             21 SAVAGE,Gun Smoke,11/10/18
909,94,0,94,1,Demons And Angels                                           A BOOGIE WIT DA HOODIE featuring JUICE WRLD,1/5/19,94,94,1,             A BOOGIE WIT DA HOODIE featuring JUICE WRLD,Demons And Angels,11/10/18
910,95,0,95,1,ASMR                                                        21 SAVAGE,1/5/19,95,95,1,             21 SAVAGE,ASMR,11/10/18
911,96,78,78,3,Last Shot                                                   KIP MOORE,12/22/18,87,78,3,             KIP MOORE,Last Shot,11/10/18
912,97,82,26,10,Fine China                                                  FUTURE & JUICE WRLD,11/3/18,26,26,10,             FUTURE & JUICE WRLD,Fine China,11/10/18
913,98,91,91,2,Envy Me                                                     CALBOY,12/29/18,91,91,2,             CALBOY,Envy Me,11/10/18
914,99,83,48,13,Lost In Japan                                               SHAWN MENDES x ZEDD,10/13/18,99,48,13,             SHAWN MENDES x ZEDD,Lost In Japan,11/10/18
915,100,84,84,3,This Is It                                                  SCOTTY McCREERY,12/22/18,96,84,3,             SCOTTY McCREERY,This Is It,11/10/18
918,1,1,1,8,"Thank U, Next                                               ARIANA GRANDE",11/17/18,1,1,8,             ARIANA GRANDE,"Thank U, Next",11/3/18
919,2,2,2,12,Without Me                                                  HALSEY,10/20/18,18,2,12,             HALSEY,Without Me,11/3/18
920,3,7,3,6,All I Want For Christmas Is You                             MARIAH CAREY,12/1/18,29,3,6,             MARIAH CAREY,All I Want For Christmas Is You,11/3/18
921,4,3,1,21,Sicko Mode                                                  TRAVIS SCOTT,8/18/18,4,1,21,             TRAVIS SCOTT,Sicko Mode,11/3/18
922,5,4,4,10,Sunflower (Spider-Man: Into The Spider-Verse)               POST MALONE & SWAE LEE,11/3/18,9,4,10,             POST MALONE & SWAE LEE,Sunflower (Spider-Man: Into The Spider-Verse),11/3/18
923,6,6,5,19,High Hopes                                                  PANIC! AT THE DISCO,9/1/18,90,5,19,             PANIC! AT THE DISCO,High Hopes,11/3/18
924,7,5,3,19,Happier                                                     MARSHMELLO & BASTILLE,9/1/18,63,3,19,             MARSHMELLO & BASTILLE,Happier,11/3/18
925,8,13,8,5,Jingle Bell Rock                                            BOBBY HELMS,12/8/18,33,8,5,             BOBBY HELMS,Jingle Bell Rock,11/3/18
926,9,11,9,5,Rockin' Around The Christmas Tree                           BRENDA LEE,12/8/18,23,9,5,             BRENDA LEE,Rockin' Around The Christmas Tree,11/3/18
927,10,12,10,5,A Holly Jolly Christmas                                     BURL IVES,12/8/18,26,10,5,             BURL IVES,A Holly Jolly Christmas,11/3/18
928,11,17,11,5,The Christmas Song (Merry Christmas To You)                 NAT KING COLE,12/8/18,39,11,5,             NAT KING COLE,The Christmas Song (Merry Christmas To You),11/3/18
929,12,9,4,15,Drip Too Hard                                               LIL BABY & GUNNA,9/29/18,28,4,15,             LIL BABY & GUNNA,Drip Too Hard,11/3/18
930,13,10,10,5,It's The Most Wonderful Time Of The Year                    ANDY WILLIAMS,12/8/18,21,10,5,             ANDY WILLIAMS,It's The Most Wonderful Time Of The Year,11/3/18
931,14,15,1,31,Girls Like You                                              MAROON 5 featuring CARDI B,6/9/18,94,1,31,             MAROON 5 featuring CARDI B,Girls Like You,11/3/18
932,15,8,2,11,Zeze                                                        KODAK BLACK featuring TRAVIS SCOTT & OFFSET,10/27/18,2,2,11,             KODAK BLACK featuring TRAVIS SCOTT & OFFSET,Zeze,11/3/18
933,16,28,16,4,Rudolph The Red-Nosed Reindeer                              GENE AUTRY,12/15/18,36,16,4,             GENE AUTRY,Rudolph The Red-Nosed Reindeer,11/3/18
934,17,16,6,18,Mo Bamba                                                    SHECK WES,9/8/18,82,6,18,             SHECK WES,Mo Bamba,11/3/18
935,18,14,11,15,Wake Up In The Sky                                          GUCCI MANE & BRUNO MARS & KODAK BLACK,9/29/18,30,11,15,             GUCCI MANE & BRUNO MARS & KODAK BLACK,Wake Up In The Sky,11/3/18
936,19,30,13,10,Money                                                       CARDI B,11/3/18,54,13,10,             CARDI B,Money,11/3/18
937,20,32,20,4,"Let It Snow, Let It Snow, Let It Snow                       DEAN MARTIN",12/15/18,41,20,4,             DEAN MARTIN,"Let It Snow, Let It Snow, Let It Snow",11/3/18
938,21,18,16,24,"Eastside                                                    BENNY BLANCO, HALSEY & KHALID",7/28/18,56,16,24,"             BENNY BLANCO, HALSEY & KHALID",Eastside,11/3/18
939,22,19,12,19,Breathin'                                                   ARIANA GRANDE,9/1/18,22,12,19,             ARIANA GRANDE,Breathin',11/3/18
940,23,21,3,35,Better Now                                                  POST MALONE,5/12/18,7,3,35,             POST MALONE,Better Now,11/3/18
941,24,20,7,30,Youngblood                                                  5 SECONDS OF SUMMER,6/16/18,96,7,30,             5 SECONDS OF SUMMER,Youngblood,11/3/18
942,25,27,25,5,Last Christmas                                              WHAM!,12/8/18,43,25,5,             WHAM!,Last Christmas,11/3/18
943,26,33,26,3,Sleigh Ride                                                 THE RONETTES,12/22/18,41,26,3,             THE RONETTES,Sleigh Ride,11/3/18
944,27,23,2,33,Lucid Dreams                                                JUICE WRLD,5/26/18,74,2,33,             JUICE WRLD,Lucid Dreams,11/3/18
945,28,35,28,3,Here Comes Santa Claus (Down Santa Claus Lane)              GENE AUTRY,12/22/18,40,28,3,             GENE AUTRY,Here Comes Santa Claus (Down Santa Claus Lane),11/3/18
946,29,34,29,3,Feliz Navidad                                               JOSE FELICIANO,12/22/18,42,29,3,             JOSE FELICIANO,Feliz Navidad,11/3/18
947,30,25,11,13,"Taki Taki                                                   DJ SNAKE featuring SELENA GOMEZ, OZUNA & CARDI B",10/13/18,27,11,13,"             DJ SNAKE featuring SELENA GOMEZ, OZUNA & CARDI B",Taki Taki,11/3/18
948,31,26,5,11,MIA                                                         BAD BUNNY featuring DRAKE,10/27/18,5,5,11,             BAD BUNNY featuring DRAKE,MIA,11/3/18
949,32,41,32,2,(There's No Place Like) Home For The Holidays               PERRY COMO,12/29/18,41,32,2,             PERRY COMO,(There's No Place Like) Home For The Holidays,11/3/18
950,33,31,27,15,Leave Me Alone                                              FLIPP DINERO,9/29/18,96,27,15,             FLIPP DINERO,Leave Me Alone,11/3/18
951,34,48,34,2,White Christmas                                             BING CROSBY,12/29/18,48,34,2,             BING CROSBY,White Christmas,11/3/18
952,35,42,35,2,It's Beginning To Look A Lot Like Christmas                 PERRY COMO & THE FONTANE SISTERS,12/29/18,42,35,2,             PERRY COMO & THE FONTANE SISTERS,It's Beginning To Look A Lot Like Christmas,11/3/18
953,36,22,6,4,Going Bad                                                   MEEK MILL featuring DRAKE,12/15/18,6,6,4,             MEEK MILL featuring DRAKE,Going Bad,11/3/18
954,37,0,37,1,A Lot                                                       21 SAVAGE,1/5/19,37,37,1,             21 SAVAGE,A Lot,11/3/18
955,38,29,11,21,Trip                                                        ELLA MAI,8/18/18,79,11,21,             ELLA MAI,Trip,11/3/18
956,39,40,1,38,"I Like It                                                   CARDI B, BAD BUNNY & J BALVIN",4/21/18,8,1,38,"             CARDI B, BAD BUNNY & J BALVIN",I Like It,11/3/18
957,40,0,40,1,Blue Christmas                                              ELVIS PRESLEY,1/5/19,40,40,1,             ELVIS PRESLEY,Blue Christmas,11/3/18
958,41,36,33,16,Speechless                                                  DAN + SHAY,9/22/18,95,33,16,             DAN + SHAY,Speechless,11/3/18
959,42,45,42,2,Happy Xmas (War Is Over)                                    JOHN & YOKO / THE PLASTIC ONO BAND with THE HARLEM COMMUNITY,12/29/18,45,42,2,             JOHN & YOKO / THE PLASTIC ONO BAND with THE HARLEM COMMUNITY,Happy Xmas (War Is Over),11/3/18
960,43,50,43,2,Christmas (Baby Please Come Home)                           DARLENE LOVE,12/29/18,50,43,2,             DARLENE LOVE,Christmas (Baby Please Come Home),11/3/18
961,44,0,44,1,Underneath The Tree                                         KELLY CLARKSON,1/5/19,44,44,1,             KELLY CLARKSON,Underneath The Tree,11/3/18
962,45,0,45,1,Run Rudolph Run                                             CHUCK BERRY,1/5/19,45,45,1,             CHUCK BERRY,Run Rudolph Run,11/3/18
963,46,43,13,23,Natural                                                     IMAGINE DRAGONS,8/4/18,37,13,23,             IMAGINE DRAGONS,Natural,11/3/18
964,47,0,47,1,Wow.                                                        POST MALONE,1/5/19,47,47,1,             POST MALONE,Wow.,11/3/18
965,48,37,9,45,Love Lies                                                   KHALID & NORMANI,3/3/18,43,9,45,             KHALID & NORMANI,Love Lies,11/3/18
966,49,0,49,1,Jingle Bells                                                FRANK SINATRA,1/5/19,49,49,1,             FRANK SINATRA,Jingle Bells,11/3/18
967,50,38,30,21,Beautiful                                                   BAZZI featuring CAMILA CABELLO,8/18/18,60,30,21,             BAZZI featuring CAMILA CABELLO,Beautiful,11/3/18
968,51,39,29,15,Better                                                      KHALID,9/29/18,45,29,15,             KHALID,Better,11/3/18
969,52,44,5,13,Shallow                                                     LADY GAGA & BRADLEY COOPER,10/13/18,28,5,13,             LADY GAGA & BRADLEY COOPER,Shallow,11/3/18
970,53,68,53,2,Cozy Little Christmas                                       KATY PERRY,12/29/18,68,53,2,             KATY PERRY,Cozy Little Christmas,11/3/18
971,54,51,34,20,She Got The Best Of Me                                      LUKE COMBS,8/25/18,95,34,20,             LUKE COMBS,She Got The Best Of Me,11/3/18
972,55,90,55,2,The Christmas Song                                          LAUREN DAIGLE,12/29/18,90,55,2,             LAUREN DAIGLE,The Christmas Song,11/3/18
973,56,49,7,13,Uproar                                                      LIL WAYNE,10/13/18,7,7,13,             LIL WAYNE,Uproar,11/3/18
974,57,0,57,1,Swervin                                                     A BOOGIE WIT DA HOODIE featuring 6IX9INE,1/5/19,57,57,1,             A BOOGIE WIT DA HOODIE featuring 6IX9INE,Swervin,11/3/18
975,58,0,58,1,Can't Leave Without It                                      21 SAVAGE,1/5/19,58,58,1,             21 SAVAGE,Can't Leave Without It,11/3/18
976,59,59,44,24,You Say                                                     LAUREN DAIGLE,7/28/18,53,44,24,             LAUREN DAIGLE,You Say,11/3/18
977,60,57,57,6,Close To Me                                                 ELLIE GOULDING x DIPLO featuring SWAE LEE,12/1/18,98,57,6,             ELLIE GOULDING x DIPLO featuring SWAE LEE,Close To Me,11/3/18
978,61,55,46,15,Best Shot                                                   JIMMIE ALLEN,9/29/18,97,46,15,             JIMMIE ALLEN,Best Shot,11/3/18
979,62,53,31,18,Dangerous                                                   MEEK MILL featuring JEREMIH & PNB ROCK,9/8/18,88,31,18,             MEEK MILL featuring JEREMIH & PNB ROCK,Dangerous,11/3/18
980,63,63,63,9,Be Alright                                                  DEAN LEWIS,11/10/18,94,63,9,             DEAN LEWIS,Be Alright,11/3/18
981,64,54,53,19,Drunk Me                                                    MITCHELL TENPENNY,9/1/18,83,53,19,             MITCHELL TENPENNY,Drunk Me,11/3/18
982,65,0,65,1,Startender                                                  A BOOGIE WIT DA HOODIE featuring OFFSET & TYGA,1/5/19,65,65,1,             A BOOGIE WIT DA HOODIE featuring OFFSET & TYGA,Startender,11/3/18
983,66,96,66,3,Look Back At It                                             A BOOGIE WIT DA HOODIE,12/22/18,95,66,3,             A BOOGIE WIT DA HOODIE,Look Back At It,11/3/18
984,67,0,67,1,All My Friends                                              21 SAVAGE,1/5/19,67,67,1,             21 SAVAGE,All My Friends,11/3/18
985,68,52,16,7,Bad!                                                        XXXTENTACION,11/24/18,16,16,7,             XXXTENTACION,Bad!,11/3/18
986,69,64,64,10,Backin' It Up                                               PARDISON FONTAINE faeturing CARDI B,11/3/18,95,64,10,             PARDISON FONTAINE faeturing CARDI B,Backin' It Up,11/3/18
987,70,0,70,1,Break Da Law                                                21 SAVAGE,1/5/19,70,70,1,             21 SAVAGE,Break Da Law,11/3/18
988,71,24,24,2,Imagine                                                     ARIANA GRANDE,12/29/18,24,24,2,             ARIANA GRANDE,Imagine,11/3/18
989,72,61,61,9,TAlk tO Me                                                  TORY LANEZ & RICH THE KID,11/10/18,76,61,9,             TORY LANEZ & RICH THE KID,TAlk tO Me,11/3/18
990,73,0,73,1,Monster                                                     21 SAVAGE,1/5/19,73,73,1,             21 SAVAGE,Monster,11/3/18
991,74,46,46,4,Calling My Spirit                                           KODAK BLACK,12/15/18,64,46,4,             KODAK BLACK,Calling My Spirit,11/3/18
992,75,69,69,8,Consequences                                                CAMILA CABELLO,11/17/18,97,69,8,             CAMILA CABELLO,Consequences,11/3/18
993,76,60,44,7,Armed And Dangerous                                         JUICE WRLD,11/24/18,44,44,7,             JUICE WRLD,Armed And Dangerous,11/3/18
994,77,62,28,9,Arms Around You                                             XXXTENTACION & LIL PUMP featuring MALUMA & SWAE LEE,11/10/18,28,28,9,             XXXTENTACION & LIL PUMP featuring MALUMA & SWAE LEE,Arms Around You,11/3/18
995,78,56,56,4,Nothing Breaks Like A Heart                                 MIKE RONSON featuring MILEY CYRUS,12/15/18,67,56,4,             MIKE RONSON featuring MILEY CYRUS,Nothing Breaks Like A Heart,11/3/18
996,79,67,67,7,Sixteen                                                     THOMAS RHETT,11/24/18,91,67,7,             THOMAS RHETT,Sixteen,11/3/18
997,80,65,65,10,Burning Man                                                 DIERKS BENTLEY featuring BROTHERS OSBORNE,11/3/18,100,65,10,             DIERKS BENTLEY featuring BROTHERS OSBORNE,Burning Man,11/3/18
998,81,81,81,3,Beautiful Crazy                                             LUKE COMBS,12/22/18,97,81,3,             LUKE COMBS,Beautiful Crazy,11/3/18
999,82,77,52,10,When The Party's Over                                       BILLIE EILISH,11/3/18,65,52,10,             BILLIE EILISH,When The Party's Over,11/3/18
1000,83,87,83,2,Sweet But Psycho                                            AVA MAX,12/29/18,87,83,2,             AVA MAX,Sweet But Psycho,11/3/18
1001,84,66,66,9,This Feeliing                                               THE CHAINSMOKERS featuring KELSEA BALLERINI,11/10/18,98,66,9,             THE CHAINSMOKERS featuring KELSEA BALLERINI,This Feeliing,11/3/18
1002,85,75,75,5,You                                                         JACQUEES,12/8/18,90,75,5,             JACQUEES,You,11/3/18
1003,86,0,86,1,1.5                                                         21 SAVAGE,1/5/19,86,86,1,             21 SAVAGE,1.5,11/3/18
1004,87,71,71,3,Girl Like You                                               JASON ALDEAN,12/22/18,77,71,3,             JASON ALDEAN,Girl Like You,11/3/18
1005,88,0,88,1,Out For The Night                                           21 SAVAGE,1/5/19,88,88,1,             21 SAVAGE,Out For The Night,11/3/18
1006,89,72,72,7,Good Girl                                                   DUSTIN LYNCH,11/24/18,93,72,7,             DUSTIN LYNCH,Good Girl,11/3/18
1007,90,73,47,14,No Stylist                                                  FRENCH MONTANA featuring DRAKE,10/6/18,47,47,14,             FRENCH MONTANA featuring DRAKE,No Stylist,11/3/18
1008,91,89,89,2,Lovely                                                      BILLIE EILISH & KHALID,12/29/18,89,89,2,             BILLIE EILISH & KHALID,Lovely,11/3/18
1009,92,80,79,8,Ella Quiere Beber                                           ANUEL AA & ROMEO SANTOS,11/17/18,86,79,8,             ANUEL AA & ROMEO SANTOS,Ella Quiere Beber,11/3/18
1010,93,0,93,1,Gun Smoke                                                   21 SAVAGE,1/5/19,93,93,1,             21 SAVAGE,Gun Smoke,11/3/18
1011,94,0,94,1,Demons And Angels                                           A BOOGIE WIT DA HOODIE featuring JUICE WRLD,1/5/19,94,94,1,             A BOOGIE WIT DA HOODIE featuring JUICE WRLD,Demons And Angels,11/3/18
1012,95,0,95,1,ASMR                                                        21 SAVAGE,1/5/19,95,95,1,             21 SAVAGE,ASMR,11/3/18
1013,96,78,78,3,Last Shot                                                   KIP MOORE,12/22/18,87,78,3,             KIP MOORE,Last Shot,11/3/18
1014,97,82,26,10,Fine China                                                  FUTURE & JUICE WRLD,11/3/18,26,26,10,             FUTURE & JUICE WRLD,Fine China,11/3/18
1015,98,91,91,2,Envy Me                                                     CALBOY,12/29/18,91,91,2,             CALBOY,Envy Me,11/3/18
1016,99,83,48,13,Lost In Japan                                               SHAWN MENDES x ZEDD,10/13/18,99,48,13,             SHAWN MENDES x ZEDD,Lost In Japan,11/3/18
1017,100,84,84,3,This Is It                                                  SCOTTY McCREERY,12/22/18,96,84,3,             SCOTTY McCREERY,This Is It,11/3/18
1020,1,1,1,8,"Thank U, Next                                               ARIANA GRANDE",11/17/18,1,1,8,             ARIANA GRANDE,"Thank U, Next",10/27/18
1021,2,2,2,12,Without Me                                                  HALSEY,10/20/18,18,2,12,             HALSEY,Without Me,10/27/18
1022,3,7,3,6,All I Want For Christmas Is You                             MARIAH CAREY,12/1/18,29,3,6,             MARIAH CAREY,All I Want For Christmas Is You,10/27/18
1023,4,3,1,21,Sicko Mode                                                  TRAVIS SCOTT,8/18/18,4,1,21,             TRAVIS SCOTT,Sicko Mode,10/27/18
